,high_ast
1059,Tceal8
1060,Itgb5
1061,Sema6d
1062,Psmc2
1063,Sec23a
1064,Cdc42se1
1065,Adgrg1
1066,Tmem43
1067,Dctn4
1068,Mpp1
1069,Ssrp1
1070,Sdhc
1071,Prdx3
1072,Ccnl2
1073,Atp6v0e
1074,Abce1
1075,Tmed4
1076,Polr3h
1077,Crk
1078,Emc7
1079,Rps7
1080,Nipsnap2
1081,Ctnnal1
1082,Ubxn1
1083,BC031181
1084,Rab1b
1085,Kctd17
1086,Olfm1
1087,Sod2
1088,Cat
1089,Pcyox1
1090,Commd3
1091,Gtf2i
1092,Dynll1
1093,Cybrd1
1094,Dpysl2
1095,Arhgap21
1096,Aff4
1097,Psmc5
1098,Cwc15
1099,Gprc5b
1100,Gsta4
1101,Psmd14
1102,Rpl37a
1103,Akirin1
1104,Laptm4b
1105,Daam2
1106,Tafa5
1107,Glo1
1108,Dusp11
1109,S100a6
1110,Eloc
1111,Dhx32
1112,Foxo3
1113,Clcn4
1114,Pitpnc1
1115,Tpr
1116,Uba2
1117,Smim7
1118,Gadd45g
1119,Epb41l2
1120,Smc3
1121,Hadhb
1122,Cnp
1123,Erbin
1124,Emc3
1125,Ddx39b
1126,Pmp22
1127,Zhx1
1128,Flnb
1129,Tmeff2
1130,Rap1a
1131,Cltb
1132,Fbxl3
1133,Bhlhb9
1134,Dnajc10
1135,Mtdh
1136,Kcnk2
1137,Slc25a18
1138,Fis1
1139,Mapk8ip1
1140,Cadm2
1141,Luc7l3
1142,Gorasp2
1143,Cggbp1
1144,Ik
1145,Papss1
1146,Ppp2cb
1147,H2bc4
1148,Ppp1r3c
1149,Zmpste24
1150,Psma7
1151,Sec22b
1152,Limch1
1153,Dennd5a
1154,Vps29
1155,Atg12
1156,Mfsd1
1157,Dad1
1158,Sybu
1159,Clcn3
1160,Suclg2
1161,Bdh1
1162,Spg21
1163,Bag1
1164,Krit1
1165,Wbp2
1166,Dnajb4
1167,Klhl7
1168,Klc1
1169,Ptges3
1170,Map2k1
1171,Slc44a1
1172,Prxl2a
1173,Phyhipl
1174,Nbr1
1175,Rasal2
1176,Vwa5a
1177,Srek1
1178,Vps26c
1179,Ndufa2
1180,Psma3
1181,Axl
1182,Rala
1183,Phax
1184,Tceal9
1185,Slc35a5
1186,Sugt1
1187,Pex2
1188,Ifi27
1189,Pgk1
1190,Psmc4
1191,Gem
1192,Pcnp
1193,Cstf2
1194,Atraid
1195,Uqcr10
1196,Stom
1197,Tmod2
1198,Eif1b
1199,Abhd12
1200,Ppp1ca
1201,Etfdh
1202,Nln
1203,Ube2e3
1204,Dcaf8
1205,M6pr
1206,Eif3i
1207,Hdlbp
1208,Pomp
1209,Hexa
1210,Adam9
1211,Ola1
1212,Pja2
1213,Elavl1
1214,Swi5
1215,Sfxn1
1216,Rab12
1217,Cox5b
1218,Tmem50a
1219,Tomm7
1220,Rps17
1221,Yipf4
1222,Ssr2
1223,Fas
1224,Cops5
1225,Trim2
1226,Ddost
1227,Ipo5
1228,Spcs1
1229,Mlec
1230,Stip1
1231,Ndufc1
1232,Golga7
1233,Rhob
1234,Polr2b
1235,Cdh11
1236,Emc2
1237,Psmb7
1238,Atp6v0d1
1239,Tmem33
1240,Ndufb11
1241,Psmc6
1242,Fech
1243,Ncan
1244,Sirpa
1245,Hsd17b12
1246,Smdt1
1247,Cops4
1248,Mmut
1249,Selenop
1250,Nfkbia
1251,Tst
1252,P4ha1
1253,Nedd8
1254,Scpep1
1255,Gria2
1256,Ttc14
1257,Htra1
1258,Hif1a
1259,Lhfp
1260,Eif4a3
1261,Cops6
1262,Map7d1
1263,Cdc16
1264,Eef1d
1265,Fmod
1266,Acaa2
1267,Zmynd11
1268,Atp6v1g1
1269,Arrdc3
1270,Spcs3
1271,Psmd12
1272,Ttyh3
1273,Grsf1
1274,Otud6b
1275,Ssbp3
1276,Evi5
1277,Wdr45b
1278,Kdm1a
1279,Cdip1
1280,Acss1
1281,Vdac3
1282,Slc15a2
1283,Angpt1
1284,Arsb
1285,Hey1
1286,Dhx40
1287,Rbm8a
1288,Psma4
1289,Drap1
1290,Appl2
1291,Olfm2
1292,Eif4g1
1293,Frs2
1294,Pnrc1
1295,Jpt1
1296,Fundc1
1297,Smu1
1298,H1f0
1299,Pacsin2
1300,Fgfr2
1301,Rpa1
1302,Tmx3
1303,Chchd3
1304,Prkaca
1305,Rps27
1306,Foxg1
1307,Tsnax
1308,Fkbp3
1309,Klhdc2
1310,Atp5j2
1311,Gpcpd1
1312,Celf1
1313,Rps11
1314,Extl2
1315,Cfdp1
1316,Ndufa6
1317,Rtraf
1318,Morf4l1
1319,Brd7
1320,Klhl24
1321,Rorb
1322,Zcchc18
1323,Egr1
1324,Igsf11
1325,Tpd52l2
1326,Purb
1327,Appbp2
1328,Cnih4
1329,Ivns1abp
1330,Tia1
1331,Reep3
1332,Ccdc88a
1333,Pter
1334,Oxr1
1335,Akt1
1336,Rpl37
1337,Vps26a
1338,Olig2
1339,Ppp3r1
1340,Tbc1d15
1341,Kpna3
1342,Nsmf
1343,Snx27
1344,Nrxn2
1345,Snx10
1346,Fgfr3
1347,Fau
1348,Smpd1
1349,Krcc1
1350,Mpc2
1351,Ccdc80
1352,Myl12a
1353,Bcl2l1
1354,Carhsp1
1355,Emc10
1356,Bphl
1357,Csrp1
1358,Snrnp70
1359,Lpcat3
1360,Srsf7
1361,Atp5md
1362,Tcf12
1363,Eci2
1364,Cetn2
1365,Nxt2
1366,Rbm5
1367,Vma21
1368,Rnf7
1369,Xrn2
1370,Eif5b
1371,Atp5e
1372,Cxxc5
1373,Ginm1
1374,Actr10
1375,Rragc
1376,Slc5a3
1377,Rsrc2
1378,Ist1
1379,Ntm
1380,Rps13
1381,Atp1b3
1382,Tnfaip1
1383,Rab28
1384,Luzp2
1385,Rab11b
1386,Slc4a4
1387,Ppm1a
1388,Sf1
1389,Kif21a
1390,Gstm5
1391,Tmx2
1392,Derl1
1393,Tomm22
1394,Hipk2
1395,Septin8
1396,Rps25
1397,Bclaf1
1398,Mrps14
1399,Gosr2
1400,Sox6
1401,Cuedc2
1402,Rnf130
1403,Kpna4
1404,Rad23b
1405,Rbbp9
1406,Ncam1
1407,Txn2
1408,Mfsd14b
1409,Bcas2
1410,Mthfd1
1411,Cebpd
1412,Cdv3
1413,Clpx
1414,Glul
1415,Rpl10a
1416,Ogdh
1417,Dnm1l
1418,Bfar
1419,Septin11
1420,Eps15
1421,Actn4
1422,Pdlim4
1423,Rchy1
1424,Rnf145
1425,Pltp
1426,Pgm1
1427,Ctnna2
1428,Nadk
1429,Nrcam
1430,Zfp106
1431,Adss
1432,Oaz2
1433,Gabrb1
1434,Kifap3
1435,Dcun1d5
1436,Slc16a2
1437,Snx1
1438,Zmiz1
1439,Gns
1440,Ddx24
1441,Wnt7b
1442,Slc25a17
1443,Ubap2l
1444,Pam
1445,Edf1
1446,Ubr4
1447,Chmp2a
1448,Cetn3
1449,Smarca4
1450,Prom1
1451,Lasp1
1452,Grn
1453,Ubc
1454,Smarca5
1455,Gyg
1456,Sae1
1457,Rnf4
1458,Sp3
1459,Usp4
1460,Cadm4
1461,Ppp2r2a
1462,Eprs
1463,Galnt1
1464,Slc6a1
1465,Tmod3
1466,Fh1
1467,Gng5
1468,Gcsh
1469,Scaf11
1470,Ugdh
1471,Twsg1
1472,Snx17
1473,Acot1
1474,Fscn1
1475,Tead1
1476,Ube2n
1477,Gsk3b
1478,Rps6
1479,Ctsa
